Symbol,Open,High,Low,Close,Volume,% Change
PZG,0.87,0.95,0.87,0.95,8700,9.2
WFT,0.73,0.79,0.72,0.79,21690200,8.22
NBR,3.29,3.57,3.29,3.54,11090900,7.93
TK,3.99,4.23,3.99,4.21,1210500,7.67
NE,2.91,3.11,2.9,3.11,5948500,7.61
CRR,3.86,4.15,3.86,4.12,391500,7.01
GSAT,0.44,0.47,0.43,0.47,1189200,6.82
RDC,11.71,12.34,11.67,12.31,1396000,5.85
CUR,0.55,0.56,0.52,0.55,221000,5.77
CENX,8.63,8.95,8.57,8.93,1865200,5.43
GOL,14.51,15.21,14.42,15.14,513500,5.07
FOSL,14.66,15.32,14.55,15.3,1199800,4.44
AAP,155.22,162.95,155.08,161.57,2105742,4.35
TOO,1.15,1.22,1.15,1.2,375200,4.35
DB,9.22,9.31,9.19,9.26,8075100,4.28
CZZ,11.67,12.16,11.64,12.13,1460200,4.21
HURN,48.28,50.27,48.28,50.18,122500,4.09
FRO,6.56,6.77,6.55,6.76,362600,4.0
GGB,4.01,4.16,4.0,4.13,22600100,3.77
LAZ,36.36,37.56,36.21,37.45,1381000,3.71
CXO,104.04,107.53,103.54,107.23,1642600,3.55
CYCC,0.86,0.92,0.84,0.89,1413400,3.49
IEZ,25.05,25.85,25.05,25.79,55400,3.33
EDC,83.41,84.35,82.94,84.14,274200,3.19
OIH,17.06,17.6,17.06,17.53,5243300,3.18
NBL,23.24,23.9,23.24,23.8,4334100,3.03
DVN,29.85,30.57,29.8,30.51,6531700,2.94
DIG,30.64,31.57,30.64,31.46,81300,2.88
FCG,16.84,17.23,16.84,17.21,326600,2.87
LTS,2.97,3.08,2.94,3.05,319200,2.69
CMG,643.36,656.59,641.06,655.8,835500,2.63
FDX,178.13,182.42,178.13,182.4,2226300,2.48
EPD,28.19,28.83,28.13,28.82,4154300,2.45
XOP,29.92,30.58,29.89,30.49,16574700,2.42
SM,15.93,16.2,15.87,16.08,2875100,2.42
LLNW,2.89,2.99,2.87,2.97,616700,2.41
CS,12.3,12.39,12.28,12.35,2356600,2.4
UBS,12.48,12.53,12.47,12.51,2751900,2.29
OKE,67.12,68.58,66.96,68.37,2874600,2.27
HZO,19.0,19.54,18.92,19.4,234600,2.27
GS,199.18,203.85,198.92,202.47,3350400,2.12
SBH,17.84,18.14,17.81,18.14,915000,2.08
AMG,110.0,111.72,109.86,111.59,416200,2.05
CMI,157.59,160.61,157.59,160.55,1171000,1.99
ERJ,20.6,20.89,20.41,20.81,781300,1.96
TTI,2.55,2.66,2.55,2.6,648900,1.96
LSTR,109.57,111.37,109.26,111.34,282300,1.89
CLI,21.18,21.8,21.12,21.51,734300,1.85
BGS,23.75,24.25,23.7,24.18,721100,1.81
IEO,57.47,58.44,57.47,58.35,28600,1.8
BAC,29.38,29.96,29.33,29.82,58095500,1.77
FAS,65.67,66.86,65.45,66.29,1346400,1.73
ALKS,34.1,34.76,33.82,34.61,761700,1.73
EWW,43.42,44.09,43.42,43.89,4170000,1.69
AER,43.71,44.21,43.44,44.2,970100,1.66
BBVA,6.21,6.21,6.14,6.18,1944800,1.64
BK,53.48,54.17,53.29,53.98,3342500,1.62
VDE,89.25,90.55,89.25,90.45,165800,1.58
IEX,147.7,150.0,147.55,149.98,307700,1.53
AEG,5.36,5.39,5.34,5.38,921051,1.51
IT,145.64,147.57,145.0,147.21,523900,1.5
CVI,41.05,41.85,41.05,41.64,304200,1.46
JOE,15.73,16.03,15.73,15.97,136000,1.46
BRF,22.43,22.88,22.43,22.8,15500,1.42
AZO,961.84,984.73,961.84,975.59,418900,1.39
IXC,33.82,34.22,33.82,34.21,154900,1.36
L,47.93,48.62,47.88,48.41,1184400,1.32
USEG,0.75,0.77,0.75,0.77,1700,1.32
S,6.38,6.5,6.36,6.47,11362800,1.25
CNI,87.62,88.66,87.53,88.61,668400,1.18
CVA,17.06,17.29,17.05,17.29,791400,1.17
ETFC,49.31,49.85,49.24,49.59,1099800,1.16
VWO,42.89,43.07,42.84,43.05,12380300,1.13
UYG,41.89,42.4,41.65,42.14,69100,1.13
UPRO,49.01,49.6,48.89,49.48,3816200,1.12
EEM,43.39,43.58,43.33,43.56,42144597,1.11
GD,169.77,171.99,169.67,171.67,1718500,1.11
TMK,83.42,84.54,83.35,84.01,592100,1.08
XLF,26.68,26.98,26.68,26.9,43951220,1.01
AEZS,3.99,4.13,3.89,4.0,287540,1.01
SCHW,45.67,46.0,45.61,45.9,3368400,0.99
FLR,37.8,38.41,37.7,38.1,1045700,0.95
EAT,43.79,44.41,43.55,44.15,728900,0.94
MET,45.38,45.99,44.96,45.72,4307200,0.9
AIT,58.12,58.77,57.95,58.58,148000,0.9
CHKP,125.46,127.53,125.23,126.75,1190900,0.88
EWT,34.08,34.2,34.06,34.18,2939100,0.77
SSO,117.31,118.25,117.11,118.04,1314500,0.75
CEO,178.09,178.94,177.86,178.88,70600,0.74
USB,52.26,52.65,52.18,52.45,5431900,0.73
HUM,280.77,282.6,278.95,282.17,934500,0.72
CMO,8.51,8.64,8.43,8.57,724800,0.71
VVR,4.21,4.24,4.2,4.24,637700,0.71
DFS,73.38,73.92,73.24,73.66,1461800,0.68
VEU,50.69,50.87,50.64,50.85,2594400,0.63
IVE,113.79,114.48,113.78,114.4,422200,0.62
AFL,50.11,50.42,49.95,50.25,2710904,0.6
PNNT,7.06,7.11,7.04,7.1,372800,0.57
RMBS,10.75,10.86,10.5,10.81,1074600,0.56
IYF,121.04,121.92,121.04,121.57,324700,0.56
SCHF,31.5,31.61,31.48,31.61,2021100,0.51
DBO,10.45,10.52,10.45,10.49,753600,0.48
TM,118.94,119.6,118.81,119.51,106300,0.45
IGC,2.28,2.35,2.26,2.26,1166200,0.44
HAS,86.81,87.6,86.35,87.1,710900,0.44
T,30.68,30.84,30.59,30.8,22638306,0.42
EFA,65.33,65.48,65.22,65.45,27615400,0.35
AGEN,2.87,2.94,2.84,2.88,877321,0.35
VEA,41.34,41.45,41.28,41.43,8404000,0.34
EME,73.48,74.01,73.25,73.7,346700,0.31
RBS,7.27,7.28,7.2,7.24,680400,0.14
CREE,55.38,57.54,55.25,56.93,3137900,0.11
ACN,166.75,167.44,165.14,166.43,1501987,0.02
BAX,77.14,77.14,76.5,76.95,1854900,0.01
PCY,27.75,27.78,27.71,27.76,968400,0.0
EWN,30.25,30.32,30.21,30.32,349200,-0.03
MKSI,87.65,88.21,87.07,87.62,1061100,-0.14
IBB,114.24,115.0,113.24,113.92,3099300,-0.25
VRTX,188.0,189.21,185.53,187.48,1539900,-0.32
ADS,172.44,173.02,169.68,171.78,501982,-0.37
NCS,6.7,6.9,6.59,6.65,931600,-0.45
CELG,88.4,88.6,87.67,87.99,5354600,-0.53
AMAT,40.41,40.71,39.91,40.0,7668000,-0.97
ASML,190.53,191.43,189.38,190.64,589900,-1.13
