Symbol,Open,High,Low,Close,Volume,% Change
CUR,0.54,0.54,0.5,0.53,105700,6.0
NBR,3.32,3.48,3.31,3.47,10595395,5.79
BIOS,3.25,3.46,3.23,3.42,893900,5.56
IAG,3.48,3.64,3.48,3.64,5509700,5.2
SBS,10.79,11.32,10.7,11.17,2234100,5.18
EQT,18.76,19.7,18.71,19.65,4156800,5.08
AXTI,4.27,4.52,4.24,4.48,274600,4.92
CPLP,2.26,2.36,2.26,2.35,591900,4.44
RIG,8.66,9.16,8.65,9.01,21821147,4.4
EMKR,4.03,4.26,4.03,4.2,1432500,3.96
HLX,7.59,7.9,7.58,7.84,1559400,3.84
SIRI,5.98,6.17,5.93,6.14,43644000,2.85
BKD,6.86,7.15,6.85,7.04,2129000,2.62
AEM,43.5,44.45,43.43,44.43,1733000,2.51
COG,25.03,25.52,24.94,25.52,4380100,2.49
PODD,94.29,96.26,93.58,95.88,620300,2.03
DEI,39.98,40.57,39.87,40.57,1746900,1.65
NBIX,80.51,81.9,79.37,80.97,752100,1.19
INO,3.55,3.56,3.35,3.56,834300,1.14
AAPL,180.0,182.67,179.37,180.91,32225600,1.12
MAC,42.92,43.39,42.73,43.24,708400,1.05
ETR,94.2,94.98,93.96,94.89,1968900,0.99
PNW,94.41,94.98,94.2,94.94,989700,0.87
APC,43.51,44.35,43.38,43.81,4075800,0.83
AES,18.0,18.14,17.9,18.12,3887300,0.83
VNO,68.75,69.41,68.75,69.12,559600,0.83
NVDA,162.26,164.39,159.19,162.52,14367800,0.81
EXC,49.18,49.56,49.14,49.46,4833400,0.77
DRE,30.56,30.79,30.55,30.71,1775900,0.75
DHI,41.25,41.47,40.8,41.4,3899300,0.73
MSFT,112.82,113.99,112.65,113.62,25655202,0.7
V,151.0,153.14,150.87,151.73,9464600,0.7
SBAC,185.76,187.73,184.73,187.12,562000,0.65
WEC,77.3,77.6,77.06,77.58,1758466,0.56
CPT,100.46,101.15,100.23,100.79,514300,0.56
AKAM,72.0,72.8,71.63,72.18,1372600,0.33
ITUB,9.61,9.68,9.57,9.64,13024500,0.31
BND,80.05,80.19,80.02,80.17,1958500,0.24
CNI,87.45,87.65,86.45,87.58,711400,0.23
AGG,107.5,107.67,107.43,107.64,5243300,0.19
TIP,111.26,111.59,111.25,111.51,632300,0.19
DUK,90.47,90.87,90.11,90.51,4640500,0.17
BSV,79.04,79.1,79.04,79.09,1509500,0.08
CLX,159.09,160.24,158.88,159.19,616400,0.08
CYTX,0.24,0.24,0.23,0.24,239400,0.0
KBH,24.1,24.35,23.67,24.04,1872100,-0.25
KT,13.2,13.24,13.1,13.12,330200,-0.68
CEL,4.27,4.34,4.27,4.34,4800,-0.69
DAL,51.19,51.32,50.02,50.67,8063200,-0.88
GWR,87.56,87.65,85.22,85.81,738700,-1.97
