Symbol,Open,High,Low,Close,Volume,% Change
ZIOP,2.89,3.19,2.84,3.16,1982400,9.72
WPRT,1.31,1.4,1.3,1.4,492700,7.69
DB,9.0,9.15,8.99,9.12,8796500,5.56
MBT,7.71,7.88,7.68,7.84,2733600,3.7
RYN,28.96,29.87,28.96,29.85,567500,3.65
SCCO,36.12,37.08,36.02,37.03,804027,3.32
AMZN,1626.12,1672.29,1626.01,1670.62,3831800,3.07
KO,45.14,46.24,45.1,46.18,22060200,2.99
WTI,5.19,5.33,5.16,5.24,3002800,2.34
TSN,62.78,64.23,62.6,64.22,2434600,2.29
UVV,59.08,60.54,58.87,60.46,110700,2.23
CCI,121.18,123.62,121.1,123.54,1564800,2.13
PAA,23.91,24.25,23.81,24.2,1825280,2.07
TIF,94.42,96.46,94.33,96.28,942070,2.07
BIDU,165.6,167.56,164.46,166.96,2188300,2.02
CVX,122.87,124.2,122.75,123.62,5737800,1.64
AWK,102.6,104.09,102.6,104.03,1740700,1.46
NLY,10.18,10.32,10.18,10.3,12518609,1.38
OHI,35.81,36.32,35.76,36.22,1480300,1.31
MAA,105.84,106.8,105.77,106.79,640700,1.3
AEE,71.84,72.61,71.81,72.57,1220100,1.21
FE,41.0,41.38,40.97,41.36,3431300,1.15
JQC,7.84,7.91,7.83,7.91,973700,1.15
WCN,84.68,85.54,84.68,85.53,489700,0.9
ACC,45.7,46.0,45.41,45.97,471800,0.81
OZM,14.83,15.53,14.6,15.02,107003,0.81
AEP,82.11,82.6,81.95,82.6,3795700,0.79
TEF,8.59,8.7,8.58,8.69,2155440,0.7
XEL,55.66,56.08,55.62,56.05,2793600,0.68
PLM,0.68,0.69,0.66,0.67,330000,0.0
IEF,104.73,104.73,104.57,104.66,4664800,-0.08
TLT,121.4,121.42,120.98,121.21,5157300,-0.3
