Symbol,Open,High,Low,Close,Volume,% Change
RBCN,8.02,8.4,7.95,8.4,8000,3.7
PZG,0.93,0.95,0.92,0.95,15100,3.26
UEC,1.29,1.35,1.28,1.33,1842400,3.1
DNN,0.53,0.54,0.51,0.54,708600,1.89
IO,15.46,15.84,15.24,15.37,153700,1.59
FITB,28.04,28.49,27.92,28.41,8190400,1.54
CIB,50.09,50.8,49.41,50.79,463600,1.48
CADC,2.83,3.14,2.5,2.84,219700,1.43
MBFI,46.07,46.81,46.0,46.73,693700,1.41
PEI,5.93,5.97,5.88,5.97,1396000,1.36
NOK,6.17,6.25,6.15,6.22,18586000,1.3
ERIC,9.44,9.49,9.41,9.47,2604837,1.28
GERN,1.63,1.71,1.57,1.66,5249523,1.22
CPST,0.87,0.9,0.85,0.86,540900,1.18
ADBE,265.26,268.0,263.52,267.69,5009040,1.15
AIV,50.47,50.79,50.25,50.77,958300,0.89
WFC,50.07,50.79,49.93,50.35,20143300,0.86
VLO,84.11,84.96,83.82,84.94,3234100,0.85
SGEN,73.06,74.32,72.66,73.6,575100,0.75
RRC,10.78,10.96,10.78,10.89,5427900,0.74
CUZ,9.87,9.93,9.79,9.91,9324200,0.71
CRZO,11.42,11.67,11.34,11.39,2562000,0.71
CB,134.94,135.95,134.39,135.4,1393200,0.65
BX,34.19,34.51,34.13,34.43,1516400,0.61
SAP,109.33,109.74,108.91,109.52,394100,0.61
DBA,16.4,16.55,16.4,16.47,265600,0.61
LSTR,110.6,111.21,109.63,111.02,242600,0.56
ZBRA,212.48,213.17,211.01,212.67,424200,0.54
BCS,8.74,8.75,8.69,8.7,1834800,0.46
ES,70.75,71.27,70.38,70.92,1962959,0.45
NVS,91.49,92.41,91.36,92.02,1614700,0.43
TDW,23.67,24.15,23.67,23.77,226000,0.42
UNH,253.0,255.06,252.34,253.27,3864800,0.4
DEO,162.03,162.34,161.05,161.47,634400,0.39
MCD,181.99,182.78,180.67,182.74,2375200,0.37
FR,34.82,34.94,34.64,34.89,489600,0.37
URE,73.05,73.64,73.01,73.64,7000,0.37
NVO,50.5,50.62,50.29,50.5,936100,0.36
AVB,199.3,200.26,198.56,200.07,462400,0.35
MDT,93.1,93.53,92.44,93.33,5425200,0.33
BLL,57.0,57.39,56.97,57.27,3171800,0.28
BP,43.92,44.27,43.87,43.95,4610300,0.27
AMGN,187.53,188.86,185.89,187.76,2691800,0.22
HCP,31.29,31.36,31.12,31.3,2130100,0.22
EQR,74.84,75.06,74.54,75.06,1321362,0.2
AYR,20.35,20.55,20.15,20.37,512900,0.2
EXPD,76.98,77.29,76.34,77.0,969793,0.17
HP,55.23,55.68,54.91,55.27,861700,0.16
IYR,86.16,86.25,85.83,86.21,5366700,0.15
VNQ,85.96,86.05,85.62,86.03,4303100,0.15
PG,100.94,101.78,100.72,101.32,8590100,0.14
CPE,7.42,7.5,7.37,7.41,2205100,0.14
VTR,63.63,63.77,63.32,63.59,2211900,0.09
BG,52.05,52.44,51.45,52.05,1783300,0.06
PFF,36.55,36.59,36.5,36.57,2487200,0.05
TOT,58.11,58.5,58.09,58.37,1668300,0.03
KMB,118.66,119.19,118.04,118.45,1295800,-0.02
COT,15.06,15.16,14.98,15.05,504500,-0.07
AIG,43.48,43.98,43.37,43.75,4741500,-0.09
SXT,66.12,66.36,65.66,66.05,190600,-0.09
NWL,15.57,15.91,15.33,15.45,7162800,-0.13
GSG,15.89,15.93,15.84,15.85,234700,-0.13
APA,34.32,34.6,34.13,34.27,3142400,-0.15
BBD,11.78,11.8,11.63,11.8,10423400,-0.25
FXE,107.86,107.89,107.75,107.86,346800,-0.27
TS,27.83,28.18,27.8,27.86,3694700,-0.32
E,35.24,35.35,35.04,35.07,109725,-0.34
QLD,87.27,87.5,86.84,86.88,694100,-0.38
KMX,60.78,60.97,59.93,60.61,1452100,-0.43
PBR.A,14.65,14.72,14.48,14.61,6503900,-0.61
CF,43.02,43.18,42.62,42.71,3774800,-0.67
ESV,4.31,4.36,4.23,4.26,5356684,-0.7
CERN,57.63,57.63,57.06,57.14,1694900,-0.73
WTW,20.29,20.41,19.84,20.09,2084600,-0.84
EWZ,43.55,43.6,42.79,43.21,24985844,-1.23
BSBR,12.22,12.31,12.01,12.13,598400,-1.86
NGD,0.87,0.87,0.84,0.86,2218100,-2.27
