Symbol,Open,High,Low,Close,Volume,% Change
GSL,0.81,0.83,0.79,0.83,25738,3.75
AEO,20.85,21.32,20.6,21.13,3842062,3.43
NTES,229.21,234.17,227.42,232.18,356553,1.4
ACC,45.99,46.46,45.82,46.34,445766,0.98
KSU,110.21,111.9,110.21,111.21,371599,0.98
SNA,160.91,162.16,160.6,161.44,101703,0.54
PGX,14.49,14.49,14.45,14.48,1335930,0.21
MAC,43.08,43.44,42.94,43.21,324371,0.19
TSN,64.07,64.28,63.42,63.95,1018132,-0.03
BIG,32.18,32.32,31.64,31.9,962567,-0.34
MED,133.22,133.74,131.52,132.16,47702,-0.47
CGA,0.6,0.63,0.57,0.57,309437,-1.72
CRIS,1.14,1.14,1.1,1.13,25184,-1.74
BRS,1.1,1.11,1.03,1.05,1091554,-4.55
