Date, Open, High, Low, Close, Volume
03/25/19, 191.51, 191.98, 186.60, 188.74, 43845293
03/22/19, 195.34, 197.69, 190.78, 191.05, 42407666
03/21/19, 190.02, 196.33, 189.81, 195.09, 51034237
03/20/19, 186.23, 189.49, 184.73, 188.16, 31035231
03/19/19, 188.35, 188.99, 185.92, 186.53, 31646369
03/18/19, 185.80, 188.39, 185.79, 188.02, 26219832
03/15/19, 184.85, 187.33, 183.74, 186.12, 39042912
03/14/19, 183.90, 184.10, 182.56, 183.73, 23579508
03/13/19, 182.25, 183.30, 180.92, 181.71, 31032524
03/12/19, 180.00, 182.67, 179.37, 180.91, 32467584
03/11/19, 175.49, 179.12, 175.35, 178.90, 32011034
03/08/19, 170.32, 173.07, 169.50, 172.91, 23999358
03/07/19, 173.87, 174.44, 172.02, 172.50, 24796374
03/06/19, 174.67, 175.49, 173.94, 174.52, 20810384
03/05/19, 175.94, 176.00, 174.54, 175.53, 19737419
03/04/19, 175.69, 177.75, 173.97, 175.85, 27436203
03/01/19, 174.28, 175.15, 172.89, 174.97, 25886167
02/28/19, 174.32, 174.91, 172.92, 173.15, 28215416
02/27/19, 173.21, 175.00, 172.73, 174.87, 27835389
02/26/19, 173.71, 175.30, 173.1732, 174.33, 17070211
02/25/19, 174.16, 175.87, 173.95, 174.23, 21873358
02/22/19, 171.58, 173.00, 171.38, 172.97, 18913154
02/21/19, 171.80, 172.37, 170.30, 171.06, 17249670
02/20/19, 171.19, 173.32, 170.99, 172.03, 26114362
02/19/19, 169.71, 171.44, 169.49, 170.93, 18972826
02/15/19, 171.25, 171.70, 169.75, 170.42, 24626814
02/14/19, 169.71, 171.2615, 169.38, 170.80, 21835747
02/13/19, 171.39, 172.48, 169.92, 170.18, 22490233
02/12/19, 170.10, 171.00, 169.70, 170.89, 22283523
02/11/19, 171.05, 171.21, 169.25, 169.43, 20993425
02/08/19, 168.99, 170.66, 168.42, 170.41, 23819966
02/07/19, 172.40, 173.94, 170.34, 170.94, 31741690
02/06/19, 174.65, 175.57, 172.8531, 174.24, 28239591
02/05/19, 172.86, 175.08, 172.3501, 174.18, 36101628
02/04/19, 167.41, 171.655, 167.28, 171.25, 31495582
02/01/19, 166.96, 168.98, 165.93, 166.52, 32668138
01/31/19, 166.11, 169.00, 164.56, 166.44, 40739649
01/30/19, 163.25, 166.15, 160.23, 165.25, 61109780
01/29/19, 156.25, 158.13, 154.11, 154.68, 41587239
01/28/19, 155.79, 156.33, 153.66, 156.30, 26192058
01/25/19, 155.48, 158.13, 154.32, 157.76, 33547893
01/24/19, 154.11, 154.48, 151.74, 152.70, 25441549
01/23/19, 154.15, 155.14, 151.70, 153.92, 23130570
01/22/19, 156.41, 156.73, 152.62, 153.30, 30393970
01/18/19, 157.50, 157.88, 155.9806, 156.82, 33751023
01/17/19, 154.20, 157.66, 153.26, 155.86, 29821160
01/16/19, 153.08, 155.88, 153.00, 154.94, 30569706
01/15/19, 150.27, 153.39, 150.05, 153.07, 28710324
01/14/19, 150.85, 151.27, 149.22, 150.00, 32439186
01/11/19, 152.88, 153.70, 151.51, 152.29, 27023241
01/10/19, 152.50, 153.97, 150.86, 153.80, 35780670
01/09/19, 151.29, 154.53, 149.63, 153.31, 45099081
01/08/19, 149.56, 151.82, 148.52, 150.75, 41025314
01/07/19, 148.70, 148.83, 145.90, 147.93, 54777764
01/04/19, 144.53, 148.5499, 143.80, 148.26, 58607070
01/03/19, 143.98, 145.72, 142.00, 142.19, 91312195
01/02/19, 154.89, 158.85, 154.23, 157.92, 37039737
12/31/18, 158.53, 159.36, 156.48, 157.74, 35003466
12/28/18, 157.50, 158.52, 154.55, 156.23, 42291424
12/27/18, 155.84, 156.77, 150.07, 156.15, 53117065
12/26/18, 148.30, 157.23, 146.72, 157.17, 58582544
12/24/18, 148.15, 151.55, 146.59, 146.83, 37169232
12/21/18, 156.86, 158.16, 149.63, 150.73, 95744384
12/20/18, 160.40, 162.11, 155.30, 156.83, 64772960
12/19/18, 166.00, 167.45, 159.09, 160.89, 49047297
12/18/18, 165.38, 167.53, 164.39, 166.07, 33841518
12/17/18, 165.45, 168.35, 162.73, 163.94, 44287922
12/14/18, 169.00, 169.08, 165.28, 165.48, 40703710
12/13/18, 170.49, 172.57, 169.55, 170.95, 31897827
12/12/18, 170.40, 171.92, 169.02, 169.10, 35627674
12/11/18, 171.66, 171.79, 167.00, 168.63, 47281665
12/10/18, 165.00, 170.09, 163.33, 169.60, 62025994
12/07/18, 173.49, 174.49, 168.30, 168.49, 42281631
12/06/18, 171.76, 174.78, 170.42, 174.72, 43098410
12/04/18, 180.95, 182.3899, 176.27, 176.69, 41344282
12/03/18, 184.46, 184.94, 181.21, 184.82, 40798002
11/30/18, 180.29, 180.33, 177.03, 178.58, 39531549
11/29/18, 182.66, 182.80, 177.70, 179.55, 41769992
11/28/18, 176.73, 181.29, 174.93, 180.94, 46062539
11/27/18, 171.51, 174.77, 170.88, 174.24, 41387377
11/26/18, 174.24, 174.95, 170.26, 174.62, 44998520
11/23/18, 174.94, 176.595, 172.10, 172.29, 23623972
11/21/18, 179.73, 180.27, 176.55, 176.78, 31124210
11/20/18, 178.37, 181.47, 175.51, 176.98, 67825247
11/19/18, 190.00, 190.70, 184.99, 185.86, 41920872
11/16/18, 190.50, 194.9695, 189.46, 193.53, 36928253
11/15/18, 188.39, 191.97, 186.90, 191.41, 46478801
11/14/18, 193.90, 194.48, 185.93, 186.80, 60800957
