Symbol,Open,High,Low,Close,Volume,% Change,Updated_Price
PETS,20.74,21.86,20.69,21.59,700200,4.25,21.58
HMY,2.02,2.07,2.01,2.07,3111700,4.02,2.04
AG,6.95,7.19,6.89,7.15,3815500,3.77,7.1
GG,10.92,11.23,10.88,11.12,61857994,2.96,11.34
ODP,3.5,3.65,3.49,3.62,6948800,2.84,3.615
MHO,26.4,27.35,26.4,27.17,293500,2.84,26.88
AVP,3.09,3.16,2.93,3.14,8394700,2.61,3.29
DHI,40.79,42.25,40.79,41.96,8394300,2.52,41.54
IDTI,48.98,48.99,48.97,48.97,8851000,2.47,48.99
RGR,50.7,51.87,50.43,51.58,88900,1.54,52.08
BBW,5.57,5.74,5.52,5.63,102000,1.44,5.97
SON,59.22,60.35,58.85,60.13,539000,1.4,60.7
RMD,99.98,101.76,99.47,101.42,556900,1.28,102.3
HR,31.82,32.39,31.6,32.19,913100,1.16,32.54
SSW,7.99,8.14,7.92,8.08,574300,1.13,8.28
BKS,5.39,5.53,5.32,5.46,1011200,1.11,5.5
FLO,20.76,20.93,20.59,20.89,914579,0.67,21.02
SKT,20.55,20.65,20.31,20.53,1057900,0.54,20.86
FRT,134.87,135.74,134.18,135.19,256836,0.5,137.07
CNP,30.66,30.88,30.57,30.8,2880500,0.26,30.88
SPG,178.19,178.77,176.67,177.98,739200,0.21,180.82
IRM,35.12,35.31,35.06,35.17,2457300,0.14,35.53
LNT,47.63,47.76,47.34,47.59,1258800,0.08,47.78
STC,42.65,42.94,42.47,42.72,179400,0.05,42.86
DUG,37.4,37.81,37.0,37.12,30900,0.0,36.18
BMS,54.27,54.54,54.16,54.33,723200,-0.02,54.81
ERY,41.5,41.97,40.59,40.79,158100,-0.15,39.17
SCO,17.79,18.06,17.38,17.6,1763800,-0.17,16.98
EEV,43.39,43.39,42.83,42.98,29400,-0.39,43.01
EDZ,45.79,45.83,44.73,45.09,141500,-0.77,44.92
DTO,57.18,58.0,55.27,55.27,1700,-1.06,54.97
